Software,Industria,Tipo,Nombre del Curso,URL del Demo
Storyline 360,Corporativo,Demo Story,Elearning,https://360.articulate.com/review/content/01dbffa7-e242-476d-a5c3-16e0b06542b7/review
Storyline 360,Corporativo,Microlearning,Parque de ortografía,https://360.articulate.com/review/content/c9987cb5-141a-4f45-afc6-72bd2eb757c9/review
Storyline 360,Corporativo,Demo tipos de actividad,Planetas,Demo Taec/Storyline (taecdesarrollodecursos.s3.amazonaws.com)
Storyline 360,Corporativo,Demo gamificado,México Prehispánico,https://taecdesarrollodecursos.s3.amazonaws.com/M%C3%A9xico%20Prehisp%C3%A1nico%20pag%20web/story_html5.html
Storyline 360,Corporativo,Microlearning,Duke primero,https://360.articulate.com/review/content/35751ad0-60a5-40b3-a18a-2d5a1a620dd5/review
Storyline 360,Corporativo,Microlearning,Duke Ruinas,https://360.articulate.com/review/content/1bc3277b-b0cb-4fb8-befd-24fde0277f13/review
Storyline 360,Corporativo,Microlearning,Duke Lifestyle,https://360.articulate.com/review/content/d14dae2f-7679-4275-bfce-79ecd44dd3ef/review
Storyline 360,Corporativo,Microlearning,Migración,"Modulo 2: La persona víctima de trata, consecuencias para la salud. | Review 360 (articulate.com)"
Storyline 360,Corporativo,Microlearning,Migración,"Módulo 1: la trata de personas, una breve introducción. | Review 360 (articulate.com)"
Storyline 360,Corporativo,Microlearning,Teva,TGE_Training for Study Administrators | Review 360 (articulate.com)
Storyline 360,Corporativo,Recursos gráficos cliente,Probecarios planeación,https://360.articulate.com/review/content/f5272581-bf2f-47ac-81de-603db3fcb218/review
Storyline 360,Corporativo,Microlearning,Probecarios finanzas p.,https://360.articulate.com/review/content/f610c5db-275c-4c98-bafa-dabea101f21d/review
Storyline 360,Corporativo,Video con loop,Roca - video con loop,https://360.articulate.com/review/content/73ff4c0a-8a97-4537-898a-deaaf5dcf9dc/review
Storyline 360,Corporativo,Microlearning,Tipo Roca,https://360.articulate.com/review/content/e962c265-1806-42dd-94bd-aa333a4c47bb/review
Storyline 360,Corporativo,Ilustración,Walmart,Mod4_Desarrollo y crecimiento | Review 360 (articulate.com)
Storyline 360,Corporativo,Microlearning,Walmart - precio,https://360.articulate.com/review/content/3cad75a2-6f9a-426d-a733-6a8377cd578f/review
Storyline 360,Corporativo,Microlearning,Zoo Pfizer Mosaic sin bloqueo,https://360.articulate.com/review/content/1e689241-a9ca-4027-a70e-628e59c91b36/review
Storyline 360,Corporativo,Softskilss,GS1 Competencias,https://360.articulate.com/review/content/5ec5012f-f106-44ec-833a-63349d9709b3/review
Storyline 360,Corporativo,Microlearning,Cisa - Ética,https://360.articulate.com/review/content/a530254d-cc5e-420d-b405-af45f83a6827/review
Storyline 360,Corporativo,Menú animado ir a Subtema 3 componentes mayores,Daimler,https://360.articulate.com/review/content/a56bb540-e315-4838-9141-bc989316e889/review
Storyline 360,Corporativo,Microlearning,Multiapoyo,https://360.articulate.com/review/content/92c49176-6134-40a5-8bf2-f62ca0b38936/review
Storyline 360,Corporativo,Contenido,Sciex,https://360.articulate.com/review/content/5991db23-e587-4d8a-8133-b6a2da40d3ba/review
Storyline 360,Corporativo,Microlearning,NiSource,https://360.articulate.com/review/content/7dce0b58-f0aa-47dd-8ac7-6472d488bd04/review
Storyline 360,Corporativo,Microlearning,NiSource,https://360.articulate.com/review/content/0e3740fe-24b7-40cb-9578-57c4df1a9cd3/review
Storyline 360,Corporativo,Guía rápida interactiva,Demo Suburbia story,Demo Suburbia | Review 360 (articulate.com)
Storyline 360,Corporativo,Microlearning,Yukon básico locución pro,https://360.articulate.com/review/content/f693f727-3801-4723-acb3-93fa7af4f9ec/review
Storyline 360,Corporativo,Microlearning,Demo evaluación simple,https://360.articulate.com/review/content/2ce1fca9-6527-4f80-8df7-b273fe5ce1dc/review
Storyline 360,Corporativo,360°,360 Centro de distribución,https://360.articulate.com/review/content/31ae1e63-881f-44cf-8f2e-e84474dca711/review
Storyline 360,Corporativo,Microlearning,360 TAEC,https://360.articulate.com/review/content/2be33341-4215-4cf4-8031-9906d32ec74e/review
Storyline 360,Corporativo,Demo imagen 360,360 paseo,https://360.articulate.com/review/content/82bb2d50-6288-4937-ac2a-3b7433e10fd2/review
