,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Diseño Instruccional,Indicar qué tipo de Diseño Instruccional (Diseño de guion) se solicita.,,,,,,,,,,,,,,,,,,,,,,,
,Sin DI,El contenido será entregado por parte del cliente en formato de guion y no requiere la interveción de un Diseñador Instruccional.,,,,,,,,,,,,,,,,,,,,,,,
,Básico,El contenido se presenta en documento o presentación ya estructurado y el Diseñador Instruccional realizará un guion aplicando los ajustes básicos necesarios para su adaptación al e-learning.,,,,,,,,,,,,,,,,,,,,,,,
,Medio,"El contenido presentado requiere la reestructuración por parte del Diseñador Instruccional, quien al realizar el guion definirá las estrategias de visualización y evaluación, así como los estándares necesarios para su adaptación a e-learning.",,,,,,,,,,,,,,,,,,,,,,,
,Alto,"El contenido no está presentado en un solo documento y requiere el levantamiento de contenido para estructurar el guion. También aplica para el diseño instruccional de recursos tipo simulador, juego, árboles de decisiones, storytelling y rollplay, entre otros. ",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Diseño Multimedia,,,,,,,,,,,,,,,,,,,,,,,,
,Básico,"El diiseño gráfico del curso, con ""look and feel"" a la medida, se realiza sobre plantillas prediseñadas o se considera sencillo/minimalista. La interactividad del curso es principalmente lineal. Puede incluir locución digital (en Storyline y video) o bloques de audio (en Rise).",,,,,,,,,,,,,,,,,,,,,,,
,Medio,"El diiseño gráfico del curso, con ""look and feel"" a la medida, cuenta con menús y elementos animados en pantalla La interactividad del curso es a medida. Puede incluir locución digital (en Storyline y video) o bloques de audio (en Rise).",,,,,,,,,,,,,,,,,,,,,,,
,Alto,"El diiseño gráfico del curso, con ""look and feel"" a la medida, cuenta con menús y elementos animados en pantalla de mayor detalles. La interactividad del curso es a medida, para simulación de uso de software o tipo juego. Puede incluir locución digital (en Storyline y video) o bloques de audio (en Rise).",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Medida de extensión,Indicar a continuación la cantidad de información o contenido fuente proporcionado.,,,,,,,,,,,,,,,,,,,,,,,
,Duración específica (minutos),Anotar la duración del curso en minutos,,,,,,,,,,,,,,,,,,,,,,,
,Palabras,Anotar la cantidad de palabras si el contenido es un documento,,,,,,,,,,,,,,,,,,,,,,,
,Páginas,Anotar la cantidad de páginas si el contenido es un documento,,,,,,,,,,,,,,,,,,,,,,,
,Diapositivas,"Anotar la cantidad de diapositivas, si el contenido es una presentación; considerando que cada diapositiva equivale a 1 minuto. 
Si la explicación por diapositiva es mayor a 1 minuto, considerar el doble para estas diapositivas. 
Las diapositivas de título si se deben contabilizar como parte de los tiempos de secciones de títulos. (No considerar diapositivas propias de sesiones presenciales como presentación, reglas de sesión, descansos, etc.)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,Actividades a medida,Indicar cantidad de actividades diseñadas a medida se gusta agregar para variar la interacción en cursos de Rise.,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
