,,,,,,
Tipo de recurso:,Responsivo y ‡gil (Rise),,,Tipo de recurso:,Video a medida (Adobe),
,,,,,,
Tama–o,,,,Tama–o,,
Medida de extensi—n,Diapositivas,,,Medida de extensi—n,Duraci—n espec’fica (minutos),
Cantidad de datos segœn medida de extensi—n,18, __ Capturar,,Cantidad de datos segœn medida de extensi—n,0, __ Capturar
Duraci—n estimada (minutos),20,,,Duraci—n estimada (minutos),0,
,,,,,,
Nivel de dise–o,,,,Nivel de dise–o,,
Multimedia,Medio,,,Multimedia,Medio,
Instruccional,Medio,,,Instruccional,Medio,
Actividades a medida,0, __ Capturar,,,,
Total,"$27,700.00",,,Total,0,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
Selecci—n de variables dise–o,MedioMedio,,,Selecci—n de variables dise–o,MedioMedio,
Selecci—n de tipo y variables,Responsivo y ‡gil (Rise)MedioMedio,,,Selecci—n de tipo y variables,Video a medida (Adobe)MedioMedio,
Horas Hombre Interactivo,40,,,Horas Hombre Video,#N/D,
Valor de la HH,$680.00,,,Valor de la HH,$680.00,
,,,,,,
,,,,,,
Tipo de recurso:,,,,Tipo de recurso:,,
Seleccionar,,,,Seleccionar,,
A medida (Storyline),,,,Video animado (Vyond),,
Responsivo y ‡gil (Rise),,,,Video a medida (Adobe),,
,,,,,,
Mensaje alerta:,,,,Mensaje alerta:,,
Si la duraci—n es mayor a 60 minutos acuda a su contacto en TAEC.,,,,Si la duraci—n es mayor a 10 minutos acuda a su contacto en TAEC.,,
,,,,,,
Medida de extensi—n Interactivos,,,,Medida de extensi—n Interactivos,,Redondeo
Seleccionar,,,,Seleccionar,,
Duraci—n espec’fica (minutos),18,,,Duraci—n espec’fica (minutos),0,0
Palabras,#REF!,#REF!,,Palabras,0.000,0
P‡ginas,67.5,,,P‡ginas,0,0
Diapositivas,18,,,Diapositivas,0,0
Duraci—n estimada,18,,,Duraci—n estimada,0,
Duraci—n estimada al siguiente mœltiplo,20,,,,,
Bloques,40,,,,,
,,,,,,
,,,,,,
Dise–o multimedia,,,,Dise–o multimedia,,
B‡sico,,,,B‡sico,,
Medio,,,,Medio,,
Alto,,,,Alto,,
,,,,,,
,,,,,,
Dise–o Instruccional,,,,Dise–o Instruccional,,
Sin DI,,,,Sin DI,,
B‡sico,,,,B‡sico,,
Medio,,,,Medio,,
Alto,,,,Alto,,
,,,,,,
"Actividades a medida (Incluye DM, DI, QA)",,,,,,
Responsivo y ‡gil (Rise),,,,,,
HH por actividad,6,,,,,
Precio por actividad,"$4,080.00",,,,,
Cantidad de actividades,0,,,,,
Total,$0.00,,,,,
Condicional,$0.00,,,,,
,,,,,,
,,,,,,
Extra para gastos,500,,,Extra para gastos,500,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
